Node1,Node2,Sign,edgeID
SLC25A1,Enzyme220600001__SLC25A1,1,SLC25A1_Enzyme220600001__SLC25A1
SLC25A1,Enzyme220700002__SLC25A1,1,SLC25A1_Enzyme220700002__SLC25A1
SLC25A1,Enzyme220800002__SLC25A1,1,SLC25A1_Enzyme220800002__SLC25A1
SLC25A1,Enzyme221400002__SLC25A1,1,SLC25A1_Enzyme221400002__SLC25A1
SLC25A1,Enzyme221500003__SLC25A1,1,SLC25A1_Enzyme221500003__SLC25A1
SLC25A1,Enzyme221700003__SLC25A1,1,SLC25A1_Enzyme221700003__SLC25A1
SLC25A1,Enzyme221900002__SLC25A1,1,SLC25A1_Enzyme221900002__SLC25A1
SLC25A1,Enzyme616500001__SLC25A1,1,SLC25A1_Enzyme616500001__SLC25A1
SLC25A1,Enzyme616500002__SLC25A1,1,SLC25A1_Enzyme616500002__SLC25A1
SLC25A1,Enzyme616600001__SLC25A1,1,SLC25A1_Enzyme616600001__SLC25A1
SLC25A1,Enzyme616600002__SLC25A1,1,SLC25A1_Enzyme616600002__SLC25A1
SLC25A1,Enzyme616700002__SLC25A1,1,SLC25A1_Enzyme616700002__SLC25A1
SLC25A1,Enzyme616800001__SLC25A1,1,SLC25A1_Enzyme616800001__SLC25A1
SLC25A1,Enzyme617500002__SLC25A1,1,SLC25A1_Enzyme617500002__SLC25A1
SLC25A1,Enzyme617600002__SLC25A1,1,SLC25A1_Enzyme617600002__SLC25A1
SLC25A1,Enzyme618000003__SLC25A1,1,SLC25A1_Enzyme618000003__SLC25A1
SLC25A1,Enzyme618100002__SLC25A1,1,SLC25A1_Enzyme618100002__SLC25A1
SLC25A1,Enzyme618400003__SLC25A1,1,SLC25A1_Enzyme618400003__SLC25A1
SLC25A1,Enzyme618600003__SLC25A1,1,SLC25A1_Enzyme618600003__SLC25A1
SLC25A1,Enzyme618800003__SLC25A1,1,SLC25A1_Enzyme618800003__SLC25A1
SLC25A1,Enzyme619000001__SLC25A1,1,SLC25A1_Enzyme619000001__SLC25A1
SLC25A1,Enzyme619000002__SLC25A1,1,SLC25A1_Enzyme619000002__SLC25A1
SLC25A1,Enzyme619100001__SLC25A1,1,SLC25A1_Enzyme619100001__SLC25A1
SLC25A1,Enzyme619100002__SLC25A1,1,SLC25A1_Enzyme619100002__SLC25A1
SLC25A1,Enzyme982500001__SLC25A1,1,SLC25A1_Enzyme982500001__SLC25A1
SLC25A1,Enzyme982500002__SLC25A1,1,SLC25A1_Enzyme982500002__SLC25A1
SLC25A1,Enzyme986100002__SLC25A1,1,SLC25A1_Enzyme986100002__SLC25A1
SMAD1,SMAD4,1,SMAD1_SMAD4
SMAD2,CREB1,1,SMAD2_CREB1
SMAD2,CREBBP,1,SMAD2_CREBBP
SMAD2,DAPK1,1,SMAD2_DAPK1
SMAD2,E2F4,1,SMAD2_E2F4
SMAD2,SMAD1,1,SMAD2_SMAD1
SMAD2,SMAD3,1,SMAD2_SMAD3
SMAD2,SMAD4,1,SMAD2_SMAD4
SMAD2,SP1,1,SMAD2_SP1
SMAD2,STRAP,-1,SMAD2_STRAP
SMAD3,BRCA1,-1,SMAD3_BRCA1
SMAD3,CREBBP,1,SMAD3_CREBBP
SMAD3,DAPK1,1,SMAD3_DAPK1
SMAD3,E2F4,1,SMAD3_E2F4
SMAD3,FOXO1,1,SMAD3_FOXO1
SMAD3,SMAD4,1,SMAD3_SMAD4
SMAD3,STRAP,-1,SMAD3_STRAP
SMAD4,CREB1,1,SMAD4_CREB1
SMAD4,CREBBP,1,SMAD4_CREBBP
SMAD4,DAPK1,1,SMAD4_DAPK1
SMAD4,E2F4,1,SMAD4_E2F4
SMARCA4,TP53,-1,SMARCA4_TP53
SMARCA4,XPC,1,SMARCA4_XPC
