source,target,sign,consistency
Gene618600003__SLC25A1,Metab__HMDB0000072_m,1,TRUE
Gene618800003__SLC25A1,Metab__HMDB0000072_m,1,TRUE
Gene619000002__SLC25A1,Metab__HMDB0000193_c,1,TRUE
Gene619100002__SLC25A1,Metab__HMDB0000072_c,1,TRUE
Gene6572__orphanReacHC00342te,Metab__HMDB0000072_e,1,TRUE
Gene6707__orphanReacAHCYSte,Metab__HMDB0000939_c,1,TRUE
Gene6707__orphanReacAHCYSte_reverse,Metab__HMDB0000939_e,1,TRUE
Gene6747__orphanReacICITtr,Metab__HMDB0000193_c,1,TRUE
Gene6747__orphanReacICITtr_reverse,Metab__HMDB0000193_e,1,TRUE
Gene7279__NME3,Metab__HMDB0001532_c,1,TRUE
Gene7279__NME7,Metab__HMDB0001532_c,1,TRUE
Gene7280__NME3,Metab__HMDB0000189_c,1,TRUE
Gene7280__NME3_reverse,Metab__HMDB0003335_c,1,TRUE
Gene7280__NME7,Metab__HMDB0000189_c,1,TRUE
Gene7280__NME7_reverse,Metab__HMDB0003335_c,1,TRUE
Gene7283__GPI_reverse,Metab__HMDB0001401_c,1,TRUE
Gene7374__GALT,Metab__HMDB0001586_c,1,TRUE
Gene7374__GALT_reverse,Metab__HMDB0000286_c,1,TRUE
Gene7374__GALT_reverse,Metab__HMDB0000645_c,1,TRUE
Gene753__G6PD,Metab__HMDB0062628_r,1,TRUE
Gene753__G6PD_reverse,Metab__HMDB0001401_r,1,TRUE
Gene7544__G6PD,Metab__HMDB0062628_c,1,TRUE
Gene7544__G6PD_reverse,Metab__HMDB0001401_c,1,TRUE
Gene754__G6PC3,Metab__HMDB0000122_r,1,TRUE
Gene7574__HK1,Metab__HMDB0001401_c,1,TRUE
Gene7681__GNPDA1,Metab__HMDB0000051_c,1,TRUE
Gene7682__GALK1,Metab__HMDB0000645_c,1,TRUE
Gene786__SLC2A1,Metab__HMDB0000143_c,1,TRUE
Gene793__GBA,Metab__HMDB0000122_c,1,TRUE
Gene793__GBA,Metab__crm_hs_c,1,TRUE
Gene7976__orphanReacCRMte,Metab__crm_hs_c,1,TRUE
Gene7976__orphanReacCRMte_reverse,Metab__crm_hs_e,1,TRUE
Gene8252__ASH1L,Metab__HMDB0000939_c,1,TRUE
Gene8252__ASH1L,Metab__Ntmelys_c,1,TRUE
Gene8252__DOT1L,Metab__HMDB0000939_c,1,TRUE
Gene8252__DOT1L,Metab__Ntmelys_c,1,TRUE
Gene8252__EHMT1,Metab__HMDB0000939_c,1,TRUE
Gene8252__EHMT1,Metab__Ntmelys_c,1,TRUE
Gene8252__KMT2A,Metab__HMDB0000939_c,1,TRUE
Gene8252__KMT2A,Metab__Ntmelys_c,1,TRUE
Gene8252__KMT2B,Metab__HMDB0000939_c,1,TRUE
Gene8252__KMT2B,Metab__Ntmelys_c,1,TRUE
Gene8252__KMT2C,Metab__HMDB0000939_c,1,TRUE
Gene8252__KMT2C,Metab__Ntmelys_c,1,TRUE
Gene8252__KMT2D,Metab__HMDB0000939_c,1,TRUE
Gene8252__KMT2D,Metab__Ntmelys_c,1,TRUE
Gene8252__KMT2E,Metab__HMDB0000939_c,1,TRUE
Gene8252__KMT2E,Metab__Ntmelys_c,1,TRUE
Gene8252__KMT5A,Metab__HMDB0000939_c,1,TRUE
Gene8252__KMT5A,Metab__Ntmelys_c,1,TRUE
Gene8252__NSD1,Metab__HMDB0000939_c,1,TRUE
Gene8252__NSD1,Metab__Ntmelys_c,1,TRUE
Gene8252__SETD1A,Metab__HMDB0000939_c,1,TRUE
Gene8252__SETD1A,Metab__Ntmelys_c,1,TRUE
Gene8252__SETD1B,Metab__HMDB0000939_c,1,TRUE
Gene8252__SETD1B,Metab__Ntmelys_c,1,TRUE
Gene8252__SETD2,Metab__HMDB0000939_c,1,TRUE
Gene8252__SETD2,Metab__Ntmelys_c,1,TRUE
Gene8252__SETD7,Metab__HMDB0000939_c,1,TRUE
Gene8252__SETD7,Metab__Ntmelys_c,1,TRUE
Gene8252__SETDB1,Metab__HMDB0000939_c,1,TRUE
Gene8252__SETDB1,Metab__Ntmelys_c,1,TRUE
Gene8252__SMYD3,Metab__HMDB0000939_c,1,TRUE
Gene8252__SMYD3,Metab__Ntmelys_c,1,TRUE
Gene8252__SUV39H1,Metab__HMDB0000939_c,1,TRUE
Gene8252__SUV39H1,Metab__Ntmelys_c,1,TRUE
Gene8253__orphanReacICITt_x,Metab__HMDB0000193_c,1,TRUE
Gene8253__orphanReacICITt_x_reverse,Metab__HMDB0000193_x,1,TRUE
Gene825__orphanReacGLCter,Metab__HMDB0000122_r,1,TRUE
Gene825__orphanReacGLCter_reverse,Metab__HMDB0000122_c,1,TRUE
Gene8969__SLC37A4,Metab__HMDB0001401_r,1,TRUE
Gene8969__SLC37A4_reverse,Metab__HMDB0001401_c,1,TRUE
Gene8988__AKR1A1,Metab__HMDB0000107_c,1,TRUE
